0,15914,-1113,5306
63,15758,-1467,5369
125,15682,-1558,5431
187,15654,-1481,5493
249,15617,-1480,5555
312,15582,-1486,5618
374,15550,-1487,5680
436,15514,-1497,5742
499,15488,-1492,5805
561,15462,-1496,5867
623,15437,-1501,5929
686,15413,-1497,5992
748,15388,-1500,6054
811,15367,-1504,6117
873,15347,-1509,6179
936,15328,-1506,6242
998,15310,-1506,6304
1060,15289,-1519,6366
1123,15273,-1517,6429
1185,15258,-1519,6491
1248,15241,-1537,6554
1310,15208,-1719,6616
1373,15213,-1524,6679
1435,15200,-1532,6741
1497,15189,-1518,6803
1560,15176,-1521,6866
1622,15142,-1687,6928
1685,15115,-1751,6991
1747,15131,-1523,7053
1809,15128,-1515,7115
1872,15119,-1516,7178
1934,15105,-1516,7240
1996,15097,-1516,7302
2059,15086,-1515,7365
2121,15075,-1519,7427
2184,15062,-1524,7490
2246,15048,-1517,7552
2309,15038,-1518,7615
2371,15026,-1516,7677
2434,15014,-1515,7740
2496,15000,-1526,7802
2559,14985,-1521,7865
2621,14970,-1550,7927
2684,14934,-1736,7990
2746,14907,-1765,8052
2809,14909,-1675,8115
2871,14910,-1547,8177
2934,14900,-1541,8240
2998,14884,-1562,8304
3060,14871,-1545,8366
3123,14833,-1728,8429
3185,14839,-1540,8491
3247,14823,-1539,8553
3310,14807,-1543,8616
3372,14790,-1545,8678
3434,14768,-1550,8740
3497,14753,-1550,8803
3561,14736,-1550,8867
3623,14718,-1555,8929
3686,14700,-1559,8992
3748,14677,-1563,9054
3811,14661,-1554,9117
3874,14641,-1566,9180
3936,14622,-1565,9242
4000,14586,-1710,9306
4062,14541,-1801,9368
4125,14546,-1581,9431
4187,14531,-1593,9493
4249,14514,-1576,9555
4312,14477,-1768,9618
4374,14470,-1596,9680
4437,14449,-1606,9743
4499,14430,-1587,9805
4563,14410,-1591,9869
