PADRESP162_250501033005.DAT;file0.dat;2025-05-01 03:30:05;3584
PADRESP160_250501033005.IDX;file1.idx;2025-05-01 03:30:05;512
PADRESP160_250501033005.DAT;file2.dat;2025-05-01 03:30:05;2604
PADRESP160_250501034742.DAT;file3.dat;2025-05-01 03:47:42;672
PADRESP10_250501143630.DAT;file4.dat;2025-05-01 14:36:30;938946
PADRESP13_250501143631.IDX;file5.idx;2025-05-01 14:36:31;1488
PADRESP13_250501143631.DAT;file6.dat;2025-05-01 14:36:31;2006916
PADRESP14_250501143631.IDX;file7.idx;2025-05-01 14:36:31;672
PADRESP14_250501143631.DAT;file8.dat;2025-05-01 14:36:31;1188254
PADRESP15_250501143631.IDX;file9.idx;2025-05-01 14:36:31;1328
PADRESP15_250501143631.DAT;file10.dat;2025-05-01 14:36:31;1920364
PADRESP16_250501143632.IDX;file11.idx;2025-05-01 14:36:32;1056
PADRESP16_250501143632.DAT;file12.dat;2025-05-01 14:36:32;36618
PADRESP17_250501143632.IDX;file13.idx;2025-05-01 14:36:32;1424
PADRESP17_250501143632.DAT;file14.dat;2025-05-01 14:36:32;48000
PADRESP162_250501143632.DAT;file15.dat;2025-05-01 14:36:32;3840
PADRESP160_250501143633.DAT;file16.dat;2025-05-01 14:36:33;1008
PADRESP20_250501143633.DAT;file17.dat;2025-05-01 14:36:33;612
PADRESP10_250501143630.IDX;file18.idx;2025-05-01 14:36:30;8608
PADRESP160_250502031350.DAT;file19.dat;2025-05-02 03:13:50;588
PADRESP160_250502031422.IDX;file20.idx;2025-05-02 03:14:22;2112
PADRESP160_250502031422.DAT;file21.dat;2025-05-02 03:14:22;11004
PADRESP10_250502045247.IDX;file22.idx;2025-05-02 04:52:47;43824
PADRESP14_250502040113.IDX;file23.idx;2025-05-02 04:01:13;1488
PADRESP14_250502040113.DAT;file24.dat;2025-05-02 04:01:13;2790828
PADRESP15_250502040113.IDX;file25.idx;2025-05-02 04:01:13;2656
PADRESP15_250502040113.DAT;file26.dat;2025-05-02 04:01:13;3423474
PADRESP16_250502040114.IDX;file27.idx;2025-05-02 04:01:14;27328
PADRESP16_250502040114.DAT;file28.dat;2025-05-02 04:01:14;697454
PADRESP162_250502040114.IDX;file29.idx;2025-05-02 04:01:14;592
PADRESP162_250502040114.DAT;file30.dat;2025-05-02 04:01:14;4608
PADRESP14_250502043741.DAT;file31.dat;2025-05-02 04:37:41;559700
PADRESP15_250502043741.IDX;file32.idx;2025-05-02 04:37:41;864
PADRESP15_250502043741.DAT;file33.dat;2025-05-02 04:37:41;1120694
PADRESP16_250502043741.IDX;file34.idx;2025-05-02 04:37:41;5392
PADRESP16_250502043741.DAT;file35.dat;2025-05-02 04:37:41;219704
PADRESP162_250502043742.DAT;file36.dat;2025-05-02 04:37:42;2176
PADRESP10_250502045247.DAT;file37.dat;2025-05-02 04:52:47;3684400
PADRESP14_250502045248.IDX;file38.idx;2025-05-02 04:52:48;3552
PADRESP14_250502045248.DAT;file39.dat;2025-05-02 04:52:48;6390398
PADRESP15_250502045249.IDX;file40.idx;2025-05-02 04:52:49;5664
PADRESP15_250502045249.DAT;file41.dat;2025-05-02 04:52:49;7933438
PADRESP16_250502045249.IDX;file42.idx;2025-05-02 04:52:49;11696
PADRESP16_250502045249.DAT;file43.dat;2025-05-02 04:52:49;377512
PADRESP17_250502045249.IDX;file44.idx;2025-05-02 04:52:49;3952
PADRESP17_250502045249.DAT;file45.dat;2025-05-02 04:52:49;162760
PADRESP162_250502045249.IDX;file46.idx;2025-05-02 04:52:49;1088
PADRESP162_250502045249.DAT;file47.dat;2025-05-02 04:52:49;8576
PADRESP160_250502045250.DAT;file48.dat;2025-05-02 04:52:50;924
PADRESP20_250502045250.IDX;file49.idx;2025-05-02 04:52:50;784
PADRESP20_250502045250.DAT;file50.dat;2025-05-02 04:52:50;1632
PADRESP17_250502061754.DAT;file51.dat;2025-05-02 06:17:54;618
