file_name,size(in bytes),attributes,timestamp
/sd/padreMDA0_250501141221.idx,139808,f,1746109294
/sd/bytes502.bin,34592,f,1744931045
/sd/padreMDA0_250501142253.dat,10486178,f,1746109542
/sd/padreMDA0_250501142035.idx,142544,f,1746109432
/sd/padreMDA0_250501142510.dat,10485818,f,1746109693
/sd/padreMDA0_250501142253.idx,142592,f,1746109542
/sd/padreMDA0_250501142813.dat,10486620,f,1746109916
/sd/padreMDA0_250501142510.idx,142336,f,1746109693
/sd/padreMDA0_250501143124.dat,10486372,f,1746110022
/sd/padreMDA0_250501142813.idx,142320,f,1746109916
/sd/padreMDA0_250501143342.dat,10486504,f,1746110159
/sd/padreMDA0_250501143124.idx,142576,f,1746110022
/sd/padreMDA0_250501143559.dat,10486262,f,1746110297
/sd/padreSP10_250501143431.dat,0,f,1746110158
/sd/padreSP11_250501143431.idx,16,f,1746110159
/sd/trace_log.dx8,10485760,f,1744206981
/sd/padreSP11_250501143431.dat,0,f,1746110159
/sd/padreSP12_250501143432.idx,16,f,1746110159
/sd/trace_log.dx9,10485760,f,1744221834
/sd/padreSP12_250501143432.dat,0,f,1746110159
/sd/padreSP13_250501143432.idx,16,f,1746110159
/sd/padreSP13_250501143432.dat,0,f,1746110159
/sd/padreSP14_250501143432.idx,16,f,0
/sd/padreSP14_250501143432.dat,0,f,0
/sd/padreSP15_250501143433.idx,16,f,0
/sd/padreSP15_250501143433.dat,0,f,0
/sd/padreSP16_250501143433.idx,16,f,0
/sd/padreSP16_250501143433.dat,0,f,0
/sd/padreSP17_250501143433.idx,16,f,0
/sd/padreSP17_250501143433.dat,0,f,0
/sd/padreSP162_250501143434.idx,16,f,0
/sd/padreSP162_250501143434.dat,0,f,0
/sd/padreSP160_250501143434.idx,16,f,0
/sd/padreSP160_250501143434.dat,0,f,0
/sd/padreSP20_250501143434.idx,16,f,0
/sd/padreSP20_250501143434.dat,0,f,0
/sd/schedule_01.bin,118,f,1746056160
/sd/schedule_01.sfn,746,f,1746062183
/sd/padreSP122_250501143435.idx,16,f,0
/sd/padreSP122_250501143435.dat,0,f,0
/sd/padreMDA0_250501143342.idx,142544,f,1746110159
/sd/padreMDA0_250501143817.dat,10486664,f,1746110495
/sd/padreSP10_250501143630.dat,938946,f,1746112062
/sd/padreSP11_250501143630.idx,16,f,1746112063
/sd/padreSP11_250501143630.dat,0,f,1746112063
/sd/padreSP12_250501143630.idx,16,f,1746112063
/sd/padreSP12_250501143630.dat,0,f,1746112063
/sd/padreSP13_250501143631.idx,1488,f,1746112064
/sd/padreSP10_250501143431.idx,16,f,1746110158
/sd/padreSP13_250501143631.dat,2006916,f,1746112064
/sd/padreSP14_250501143631.idx,672,f,1746112064
/sd/padreSP14_250501143631.dat,1188254,f,1746112064
/sd/padreSP15_250501143631.idx,1328,f,1746112065
/sd/padreSP15_250501143631.dat,1920364,f,1746112065
/sd/padreSP16_250501143632.idx,1056,f,1746112065
/sd/padreSP16_250501143632.dat,36618,f,1746112065
/sd/padreSP17_250501143632.idx,1424,f,1746112066
/sd/padreSP17_250501143632.dat,48000,f,1746112066
/sd/padreSP162_250501143632.idx,496,f,1746112066
/sd/padreSP162_250501143632.dat,3840,f,1746112066
/sd/padreSP160_250501143633.idx,208,f,1746112067
/sd/padreSP160_250501143633.dat,1008,f,1746112067
/sd/padreSP20_250501143633.idx,304,f,1746112067
/sd/padreSP20_250501143633.dat,612,f,1746112067
/sd/padreSP122_250501143633.idx,16,f,1746112068
/sd/padreSP122_250501143633.dat,0,f,1746112068
/sd/padreMDA0_250501150552.idx,142560,f,1746112089
/sd/padreMDA0_250501150552.dat,10485886,f,1746112089
/sd/padreMDA0_250501150809.dat,10486494,f,1746112227
/sd/padreMDA0_250501151027.dat,6557456,f,1746112313
/sd/padreMDA0_250501150809.idx,142560,f,1746112227
/sd/padreMDA2_250501145339.idx,1760,f,1746112314
/sd/padreMDU8_250501131915.idx,11264,f,1746112314
/sd/padreMDA0_250501143559.idx,142560,f,1746110297
/sd/padreMDA0_250501144035.dat,10486210,f,1746110633
/sd/padreMDA0_250501143817.idx,142544,f,1746110495
/sd/padreMDA0_250501144253.dat,10486226,f,1746110743
/sd/padreMDA0_250501144035.idx,142592,f,1746110633
/sd/padreMDA0_250501144511.dat,10486216,f,0
/sd/padreMDA0_250501144253.idx,142592,f,1746110743
/sd/padreMDA0_250501144728.dat,10485976,f,1746110986
/sd/padreMDA0_250501144511.idx,142608,f,0
/sd/padreMDA0_250501144946.dat,10486186,f,1746111124
/sd/padreMDA0_250501144728.idx,142544,f,1746110986
/sd/padreMDA0_250501145204.dat,10486608,f,1746111262
/sd/padreMDA0_250501144946.idx,142528,f,1746111124
/sd/padreMDA0_250501145422.dat,10486548,f,1746111460
/sd/padreMDA2_250501131915.idx,6832,f,0
/sd/padreMDA0_250501151154.dat,15046,f,1746112781
/sd/padreMDA0_250501145640.dat,10486386,f,1746111598
/sd/padreMDA0_250501145422.idx,142576,f,1746111460
/sd/padreMDA0_250501145858.dat,10485812,f,1746111708
/sd/padreMDA0_250501145640.idx,142592,f,1746111598
/sd/padreMDA0_250501150116.dat,10486108,f,1746111813
/sd/padreMDA0_250501145858.idx,142576,f,1746111707
/sd/padreMDA0_250501150334.dat,10485846,f,1746111951
/sd/padreMDA0_250501150116.idx,142576,f,1746111813
/sd/padreMDA0_250501151027.idx,89168,f,1746112313
/sd/padreMDA0_250501150334.idx,142560,f,1746111951
/sd/padreMDA2_250501151154.idx,32,f,1746112782
/sd/padreSP10_250501143630.idx,8608,f,1746112062
/sd/padreMDA2_250501151154.dat,24648,f,1746112782
/sd/padreMDU8_250501151155.idx,768,f,1746112782
/sd/padreMDA0_250501181621.dat,10024266,f,1746129958
/sd/padreMDA2_250501193042.idx,3360,f,1746129958
/sd/padreMDA0_250501151154.idx,224,f,1746112781
/sd/padreMDA2_250501193042.dat,5151432,f,1746129958
/sd/padreMDA2_250501181621.dat,10500048,f,1746127892
/sd/padreMDA0_250502025446.dat,446,f,1746154658
/sd/padreMDA0_250501181621.idx,279616,f,1746129958
/sd/padreMDU8_250502025446.dat,680,f,1746154659
/sd/padreMDA2_250502025446.idx,48,f,1746154658
/sd/padreMDA2_250502025446.dat,49296,f,1746154658
/sd/general_func.mpy,4434,f,1746128878
/sd/LEOP2_ADCS_3Axis_Commissioning_3RWL.mpy,1649,f,1746129236
/sd/LEOP2_ADCS_EKF_Commissioning.mpy,1643,f,1746129385
/sd/LEOP2_ADCS_Ground_TT_Commissioning.mpy,1338,f,1746129477
/sd/LEOP2_ADCS_RWL_Commissioning_3RWL.mpy,2138,f,1746129487
/sd/LEOP2_ADCS_Sun_Tracking_Commissioning.mpy,1538,f,1746129587
/sd/LEOP2_ADCS_TLM_Logging.mpy,1558,f,1746129695
/sd/padreSP10_250502023117.dat,0,f,0
/sd/padreSP11_250502023118.idx,16,f,0
/sd/padreSP11_250502023118.dat,0,f,0
/sd/padreSP12_250502023118.idx,16,f,0
/sd/padreSP12_250502023118.dat,0,f,0
/sd/padreSP13_250502023118.idx,16,f,1746153092
/sd/padreSP13_250502023118.dat,0,f,1746153092
/sd/padreSP14_250502023118.idx,16,f,1746153092
/sd/padreSP14_250502023118.dat,0,f,1746153092
/sd/padreSP15_250502023118.idx,16,f,1746153092
/sd/padreSP15_250502023118.dat,0,f,1746153092
/sd/padreSP16_250502023119.idx,16,f,1746153092
/sd/padreSP16_250502023119.dat,0,f,1746153092
/sd/padreSP17_250502023119.idx,16,f,1746153093
/sd/padreSP17_250502023119.dat,0,f,1746153093
/sd/padreSP162_250502023119.idx,16,f,1746153093
/sd/padreSP162_250502023119.dat,0,f,1746153093
/sd/padreSP160_250502023119.idx,16,f,1746153093
/sd/padreSP160_250502023119.dat,0,f,1746153093
/sd/padreSP20_250502023120.idx,16,f,1746153093
/sd/padreSP20_250502023120.dat,0,f,1746153093
/sd/padreSP122_250502023120.idx,16,f,1746153094
/sd/padreSP122_250502023120.dat,0,f,1746153094
/sd/padreSP10_250502023134.dat,0,f,1746154173
/sd/padreSP11_250502023134.idx,16,f,1746154173
/sd/padreSP11_250502023134.dat,0,f,1746154173
/sd/padreSP12_250502023134.idx,16,f,1746154173
/sd/padreSP12_250502023134.dat,0,f,1746154173
/sd/padreSP13_250502023135.idx,16,f,1746154173
/sd/padreSP13_250502023135.dat,0,f,1746154173
/sd/padreSP10_250502023117.idx,16,f,0
/sd/padreSP14_250502023135.idx,16,f,1746154174
/sd/padreSP14_250502023135.dat,0,f,1746154174
/sd/padreSP10_250502023134.idx,16,f,1746154173
/sd/trace_log.dx3,10485760,f,1744288470
/sd/padreSP15_250502023135.idx,16,f,1746154174
/sd/padreSP15_250502023135.dat,0,f,1746154174
/sd/testSend.txt,31,f,1744826383
/sd/padreSP16_250502023135.idx,16,f,1746154174
/sd/padreSP16_250502023135.dat,0,f,1746154174
/sd/padreSP17_250502023136.idx,16,f,1746154174
/sd/padreSP17_250502023136.dat,0,f,1746154174
/sd/padreSP162_250502023136.idx,16,f,1746154175
/sd/padreSP162_250502023136.dat,0,f,1746154175
/sd/padreSP160_250502023136.idx,16,f,1746154175
/sd/padreSP160_250502023136.dat,0,f,1746154175
/sd/padreSP20_250502023136.idx,16,f,1746154175
/sd/padreSP20_250502023136.dat,0,f,1746154175
/sd/padreSP122_250502023137.idx,16,f,1746154175
/sd/padreSP122_250502023137.dat,0,f,1746154175
/sd/padreSP10_250502024836.dat,0,f,1746154195
/sd/padreSP11_250502024836.idx,16,f,1746154195
/sd/padreSP11_250502024836.dat,0,f,1746154195
/sd/padreSP12_250502024836.idx,16,f,1746154195
/sd/padreSP12_250502024836.dat,0,f,1746154195
/sd/padreSP13_250502024836.idx,16,f,1746154196
/sd/padreSP13_250502024836.dat,0,f,1746154196
/sd/padreSP14_250502024837.idx,16,f,1746154196
/sd/padreSP14_250502024837.dat,0,f,1746154196
/sd/padreSP15_250502024837.idx,16,f,1746154196
/sd/padreSP15_250502024837.dat,0,f,1746154196
/sd/padreSP16_250502024837.idx,16,f,1746154196
/sd/padreSP16_250502024837.dat,0,f,1746154196
/sd/padreSP17_250502024837.idx,16,f,1746154197
/sd/padreSP17_250502024837.dat,0,f,1746154197
/sd/padreSP162_250502024838.idx,16,f,1746154197
/sd/padreSP162_250502024838.dat,0,f,1746154197
/sd/padreSP160_250502024838.idx,16,f,1746154197
/sd/padreSP160_250502024838.dat,0,f,1746154197
/sd/padreSP20_250502024838.idx,16,f,1746154198
/sd/padreSP20_250502024838.dat,0,f,1746154198
/sd/padreSP122_250502024838.idx,16,f,1746154198
/sd/padreSP122_250502024838.dat,0,f,1746154198
/sd/padreSP10_250502024917.dat,0,f,1746154316
/sd/padreSP11_250502024917.idx,16,f,1746154317
/sd/padreSP11_250502024917.dat,0,f,1746154317
/sd/padreSP12_250502024917.idx,16,f,1746154317
/sd/padreSP12_250502024917.dat,0,f,1746154317
/sd/padreSP13_250502024918.idx,16,f,1746154317
/sd/padreSP10_250502024836.idx,16,f,1746154195
/sd/padreSP13_250502024918.dat,0,f,1746154317
/sd/padreSP14_250502024918.idx,16,f,1746154318
/sd/padreSP14_250502024918.dat,0,f,1746154318
/sd/padreSP15_250502024918.idx,16,f,1746154318
/sd/padreSP15_250502024918.dat,0,f,1746154318
/sd/padreSP16_250502024918.idx,16,f,1746154318
/sd/padreSP16_250502024918.dat,0,f,1746154318
/sd/padreSP17_250502024918.idx,16,f,1746154318
/sd/padreSP17_250502024918.dat,0,f,1746154318
/sd/padreSP162_250502024919.idx,16,f,1746154319
/sd/padreSP162_250502024919.dat,0,f,1746154319
/sd/padreSP20_250502024919.idx,16,f,1746154319
/sd/schedule_02.bin,1070,f,1744385752
/sd/schedule_02.sfn,5021,f,1744732784
/sd/padreSP160_250502024919.idx,16,f,1746154319
/sd/padreSP160_250502024919.dat,0,f,1746154319
/sd/padreSP20_250502024919.dat,0,f,1746154319
/sd/padreSP122_250502024919.idx,16,f,0
/sd/padreSP122_250502024919.dat,0,f,0
/sd/padreSP10_250502025209.dat,0,f,1746154413
/sd/padreSP11_250502025209.idx,16,f,1746154413
/sd/padreSP11_250502025209.dat,0,f,1746154413
/sd/padreSP12_250502025209.idx,16,f,1746154414
/sd/padreSP12_250502025209.dat,0,f,1746154414
/sd/padreSP13_250502025209.idx,16,f,1746154414
/sd/padreSP13_250502025209.dat,0,f,1746154414
/sd/padreSP10_250502024917.idx,16,f,1746154316
/sd/padreSP14_250502025210.idx,16,f,1746154414
/sd/padreSP14_250502025210.dat,0,f,1746154414
/sd/padreSP15_250502025210.idx,16,f,1746154415
/sd/padreSP15_250502025210.dat,0,f,1746154415
/sd/padreSP16_250502025210.idx,16,f,1746154415
/sd/padreSP16_250502025210.dat,0,f,1746154415
/sd/padreSP17_250502025210.idx,16,f,1746154415
/sd/padreSP17_250502025210.dat,0,f,1746154415
/sd/padreSP162_250502025211.idx,16,f,1746154415
/sd/padreSP162_250502025211.dat,0,f,1746154415
/sd/padreSP160_250502025211.idx,16,f,1746154416
/sd/padreSP160_250502025211.dat,0,f,1746154416
/sd/padreSP20_250502025211.idx,16,f,1746154416
/sd/padreSP20_250502025211.dat,0,f,1746154416
/sd/padreSP122_250502025211.idx,16,f,1746154416
/sd/padreSP122_250502025211.dat,0,f,1746154416
/sd/padreMDU8_250501181621.idx,10496,f,1746129958
/sd/padreMDU8_250502025446.idx,288,f,1746154659
/sd/padreSP10_250502025818.idx_,0,f,0
/sd/padreMDU8_250501181621.dat,26180,f,1746129958
/sd/padreSP10_250502025818.dat_,0,f,0
/sd/padreMDA0_250502025446.idx,160,f,1746154658
/sd/padreSP10_250502025209.idx,16,f,1746154413
/sd/padreSP11_250502025818.idx_,0,f,0
/sd/padreSP11_250502025818.dat_,0,f,0
/sd/padreSP12_250502025819.idx_,0,f,0
/sd/padreSP12_250502025819.dat_,0,f,0
/sd/padreSP13_250502025819.idx_,0,f,0
/sd/padreSP13_250502025819.dat_,0,f,0
/sd/padreSP14_250502025819.idx_,0,f,0
/sd/padreSP14_250502025819.dat_,0,f,0
/sd/padreSP15_250502025819.idx_,0,f,0
/sd/padreSP15_250502025819.dat_,0,f,0
/sd/padreSP16_250502025820.idx_,0,f,0
/sd/padreSP16_250502025820.dat_,0,f,0
/sd/padreSP17_250502025820.idx_,0,f,0
/sd/padreSP17_250502025820.dat_,0,f,0
/sd/padreSP162_250502025820.idx_,0,f,0
/sd/padreSP162_250502025820.dat_,0,f,0
/sd/padreSP160_250502025820.idx_,0,f,0
/sd/padreSP160_250502025820.dat_,0,f,0
/sd/padreSP20_250502025821.idx_,0,f,0
/sd/padreSP20_250502025821.dat_,0,f,0
/sd/padreSP122_250502025821.idx_,0,f,0
/sd/padreSP122_250502025821.dat_,0,f,0
/sd/padreSP10_250502030027.dat,0,f,1746154913
/sd/padreSP11_250502030028.idx,16,f,1746154914
/sd/padreSP11_250502030028.dat,0,f,1746154914
/sd/padreSP12_250502030028.idx,16,f,1746154914
/sd/padreSP12_250502030028.dat,0,f,1746154914
/sd/padreSP13_250502030028.idx,16,f,1746154914
/sd/padreSP13_250502030028.dat,0,f,1746154914
/sd/padreSP14_250502030028.idx,16,f,1746154914
/sd/padreSP14_250502030028.dat,0,f,1746154914
/sd/padreSP15_250502030028.idx,16,f,1746154915
/sd/padreSP15_250502030028.dat,0,f,1746154915
/sd/padreSP16_250502030029.idx,16,f,1746154915
/sd/padreSP16_250502030029.dat,0,f,1746154915
/sd/padreSP17_250502030029.idx,16,f,1746154915
/sd/padreSP17_250502030029.dat,0,f,1746154915
/sd/padreSP162_250502030029.idx,16,f,1746154915
/sd/padreSP162_250502030029.dat,0,f,1746154915
/sd/padreSP160_250502030029.idx,16,f,1746154916
/sd/padreSP160_250502030029.dat,0,f,1746154916
/sd/padreSP20_250502030030.idx,16,f,1746154916
/sd/padreSP20_250502030030.dat,0,f,1746154916
/sd/padreSP122_250502030030.idx,16,f,1746154916
/sd/padreSP122_250502030030.dat,0,f,1746154916
/sd/padreSP10_250502030106.dat,0,f,1746154914
/sd/padreSP11_250502030106.idx,16,f,1746154914
/sd/padreSP11_250502030106.dat,0,f,1746154914
/sd/padreSP12_250502030106.idx,16,f,1746154915
/sd/padreSP12_250502030106.dat,0,f,1746154915
/sd/padreSP13_250502030106.idx,16,f,1746154915
/sd/padreSP13_250502030106.dat,0,f,1746154915
/sd/padreSP10_250502030027.idx,16,f,1746154913
/sd/padreSP14_250502030106.idx,16,f,1746154915
/sd/padreSP14_250502030106.dat,0,f,1746154915
/sd/padreSP15_250502030107.idx,16,f,1746154915
/sd/padreSP15_250502030107.dat,0,f,1746154915
/sd/padreSP16_250502030107.idx,16,f,1746154916
/sd/padreSP16_250502030107.dat,0,f,1746154916
/sd/padreSP17_250502030107.idx,16,f,1746154916
/sd/padreSP17_250502030107.dat,0,f,1746154916
/sd/padreSP162_250502030107.idx,16,f,1746154916
/sd/padreSP162_250502030107.dat,0,f,1746154916
/sd/padreSP160_250502030108.idx,16,f,1746154917
/sd/padreSP160_250502030108.dat,0,f,1746154917
/sd/padreSP20_250502030108.idx,16,f,1746154917
/sd/padreSP20_250502030108.dat,0,f,1746154917
/sd/padreSP122_250502030108.idx,16,f,1746154917
/sd/padreSP122_250502030108.dat,0,f,1746154917
/sd/padreSP10_250502030125.dat,0,f,1746155138
/sd/padreSP11_250502030126.idx,16,f,1746155139
/sd/padreSP11_250502030126.dat,0,f,1746155139
/sd/padreSP12_250502030126.idx,16,f,1746155139
/sd/padreSP12_250502030126.dat,0,f,1746155139
/sd/padreSP13_250502030126.idx,16,f,1746155139
/sd/padreSP13_250502030126.dat,0,f,1746155139
/sd/padreSP10_250502030106.idx,16,f,1746154914
/sd/padreSP14_250502030126.idx,16,f,1746155140
/sd/padreSP14_250502030126.dat,0,f,1746155140
/sd/padreSP15_250502030126.idx,16,f,1746155140
/sd/padreSP15_250502030126.dat,0,f,1746155140
/sd/padreSP16_250502030127.idx,16,f,1746155140
/sd/padreSP16_250502030127.dat,0,f,1746155140
/sd/padreSP17_250502030127.idx,16,f,1746155140
/sd/padreSP17_250502030127.dat,0,f,1746155140
/sd/padreSP162_250502030127.idx,16,f,1746155141
/sd/padreSP162_250502030127.dat,0,f,1746155141
/sd/padreSP160_250502030127.idx,16,f,1746155141
/sd/padreSP160_250502030127.dat,0,f,1746155141
/sd/padreSP20_250502030128.idx,16,f,1746155141
/sd/padreSP20_250502030128.dat,0,f,1746155141
/sd/padreSP122_250502030128.idx,16,f,1746155141
/sd/padreSP122_250502030128.dat,0,f,1746155141
/sd/padreMDA0_250502030607.dat,343422,f,1746156492
