PADREMDA0_250501131915.IDX,file1.dat,2025-05-01 13:19:15,151744
PADREMDA0_250501131915.DAT,file2.dat,2025-05-01 13:19:15,10485962
PADREMDA0_250501140110.DAT,file3.dat,2025-05-01 14:01:10,10486252
PADREMDA2_250501131915.DAT,file4.idx,2025-05-01 13:19:15,10500048
PADREMDA0_250501145204.IDX,file5.dat,2025-05-01 14:52:04,142544
PADREMDA2_250501145339.DAT,file6.dat,2025-05-01 14:53:39,2686632
PADREMDU8_250501131915.DAT,file7.dat,2025-05-01 13:19:15,27560
PADREMDU8_250501151155.DAT,file8.idx,2025-05-01 15:11:55,1880
PADREMDA2_250501181621.IDX,file9.dat,2025-05-01 18:16:21,6832
PADREMDA0_250501141221.DAT,file10.idx,2025-05-01 14:12:21,10486910
PADREMDA0_250501140110.IDX,file11.dat,2025-05-01 14:01:10,138032
PADREMDA0_250501142035.DAT,file12.idx,2025-05-01 14:20:35,10486120
PADREMDA0_250501141221.IDX,file13.dat,2025-05-01 14:12:21,139808
PADREMDA0_250501142253.DAT,file14.idx,2025-05-01 14:22:53,10486178
PADREMDA0_250501142035.IDX,file15.dat,2025-05-01 14:20:35,142544
PADREMDA0_250501142510.DAT,file16.idx,2025-05-01 14:25:10,10485818
PADREMDA0_250501142253.IDX,file17.dat,2025-05-01 14:22:53,142592
PADREMDA0_250501142813.DAT,file18.idx,2025-05-01 14:28:13,10486620
PADREMDA0_250501142510.IDX,file19.dat,2025-05-01 14:25:10,142336
PADREMDA0_250501143124.DAT,file20.idx,2025-05-01 14:31:24,10486372
PADREMDA0_250501143342.DAT_Merge_PADREMDA0_250501142813.IDX,file21.dat,2025-05-01 14:28:13,10628824
PADREMDA0_250501143559.DAT_Merge_PADREMDA0_250501143124.IDX,file22.idx,2025-05-01 14:33:42,10628838
PADREMDA0_250501143342.IDX,file23.dat,2025-05-01 14:31:24,142544
PADREMDA0_250501143817.DAT,file24.idx,2025-05-01 14:35:59,10486664
PADREMDA0_250501150552.IDX,file25.dat,2025-05-01 14:33:42,142560
PADREMDA0_250501150552.DAT,file26.idx,2025-05-01 14:38:17,10485886
PADREMDA0_250501150809.DAT_Merge_PADREMDA0_250501151027.DAT,file27.dat,2025-05-01 15:05:52,17043950
PADREMDA0_250501150809.IDX,file28.dat,2025-05-01 15:05:52,142560
PADREMDA2_250501145339.IDX,file29.dat,2025-05-01 15:08:09,1760
