PADREMDA0_250429213934.DAT;file-0;2025-04-29 21:39:34;63722
PADREMDA2_250429213934.DAT;file-1;2025-04-29 21:39:34;714792
PADREMDA0_250429214938.DAT;file-2;2025-04-29 21:49:38;1186192
PADREMDU8_250429213934.DAT;file-3;2025-04-29 21:39:34;2400
PADREMDA0_250429214938.IDX;file-4;2025-04-29 21:49:38;46416
PADREMDA0_250429213934.IDX;file-5;2025-04-29 21:39:34;9472
PADREMDA2_250429214938.IDX;file-6;2025-04-29 21:49:38;2112
PADREMDA2_250429214938.DAT;file-7;2025-04-29 21:49:38;3228888
PADREMDA0_250429221817.DAT;file-8;2025-04-29 22:18:17;10486004
PADREMDU8_250429213934.IDX;file-9;2025-04-29 21:39:34;976
PADREMDU8_250429221818.DAT;file-10;2025-04-29 22:18:18;52000
PADREMDU8_250429214939.IDX;file-11;2025-04-29 21:49:39;2640
PADREMDA2_250429221818.IDX;file-12;2025-04-29 22:18:18;6832
PADREMDA0_250429233520.DAT;file-13;2025-04-29 23:35:20;10485762
PADREMDA2_250429221818.DAT;file-14;2025-04-29 22:18:18;10500048
PADREMDA2_250429232926.DAT;file-15;2025-04-29 23:29:26;10500048
PADREMDU8_250429214939.DAT;file-16;2025-04-29 21:49:39;6560
PADREMDU8_250430015500.DAT;file-17;2025-04-30 01:55:00;2480
PADREMDA0_250429233520.IDX;file-18;2025-04-29 23:35:20;144320
PADREMDA0_250429235545.DAT;file-19;2025-04-29 23:55:45;10486022
PADREMDA0_250430001100.DAT;file-20;2025-04-30 00:11:00;10485768
PADREMDA2_250430004026.DAT;file-21;2025-04-30 00:40:26;10500048
PADREMDA0_250429221817.IDX;file-22;2025-04-29 22:18:17;206576
PADREMDA0_250429235545.IDX;file-23;2025-04-29 23:55:45;143968
PADREMDA0_250430002544.IDX;file-24;2025-04-30 00:25:44;143872
PADREMDA0_250430002544.DAT;file-25;2025-04-30 00:25:44;10485978
PADREMDA0_250430003926.DAT;file-26;2025-04-30 00:39:26;10485986
PADREMDA0_250430005320.DAT;file-27;2025-04-30 00:53:20;10486646
PADREMDA2_250429232926.IDX;file-28;2025-04-29 23:29:26;6832
PADREMDA2_250430015126.DAT;file-29;2025-04-30 01:51:26;542256
PADREMDA0_250430001100.IDX;file-30;2025-04-30 00:11:00;143888
PADREMDA0_250430010654.IDX;file-31;2025-04-30 01:06:54;143904
PADREMDA0_250430010654.DAT_merged_PADREMDA0_250430012016.DAT;file-32;2025-04-30 01:06:54;20972294
PADREMDA0_250430013330.DAT;file-33;2025-04-30 01:33:30;10486638
PADREMDA0_250430003926.IDX;file-34;2025-04-30 00:39:26;143744
PADREMDA0_250430005320.IDX;file-35;2025-04-30 00:53:20;143904
PADREMDA0_250430014541.IDX;file-36;2025-04-30 01:45:41;106976
PADREMDA0_250430014541.DAT;file-37;2025-04-30 01:45:41;7802950
PADREMDA0_250430015459.DAT;file-38;2025-04-30 01:54:59;10936
PADREMDA2_250430015500.DAT;file-39;2025-04-30 01:55:00;49296
PADREMDU8_250430015500.IDX;file-40;2025-04-30 01:55:00;1008
PADREMDA0_250430012016.IDX;file-41;2025-04-30 01:20:16;143696
PADREMDA0_250430013330.IDX;file-42;2025-04-30 01:33:30;143776
PADREMDU8_250429221818.IDX;file-43;2025-04-29 22:18:18;20816
PADREMDA2_250430004026.IDX;file-44;2025-04-30 00:40:26;6832
