Product type : SPD1305X
Product SRLN : SPD13DCQ7R0934
Product Software Version : 2.1.1.9R1
Number of channels : 1
Software Version : V1.0.2
File type: CSV
File version: 1.0
Interval : 0.5S
Date : 2025-03-25 11:10:47

Time,CH1 VOLT,CH1 CURR
133.776,30.000,0.221
134.313,30.000,0.241
134.846,30.000,0.254
135.363,30.000,0.219
135.881,30.000,0.222
136.394,30.000,0.220
136.925,30.000,0.251
137.460,30.000,0.222
137.976,30.000,0.217
138.506,30.000,0.213
139.028,30.000,0.230
139.558,30.000,0.217
140.075,30.000,0.220
140.610,30.000,0.254
141.124,30.000,0.219
141.646,30.000,0.220
142.164,30.000,0.216
142.694,30.000,0.237
143.216,30.000,0.222
143.746,30.000,0.222
144.253,30.000,0.216
144.770,30.000,0.224
145.291,30.000,0.250
145.810,30.000,0.218
146.331,30.000,0.217
146.847,30.000,0.215
147.383,30.000,0.236
147.902,30.000,0.219
148.429,30.000,0.222
148.947,30.000,0.220
149.477,30.000,0.219
149.985,30.000,0.216
150.503,30.000,0.221
151.025,30.000,0.231
151.545,30.000,0.225
152.083,30.000,0.222
152.597,30.000,0.222
153.115,30.000,0.223
153.632,30.000,0.242
154.152,30.000,0.222
154.685,30.000,0.222
155.221,30.000,0.214
155.733,30.000,0.229
156.251,30.000,0.219
156.784,30.000,0.221
157.302,30.000,0.215
157.835,30.000,0.221
158.374,30.000,0.234
158.890,30.000,0.219
159.410,30.000,0.221
159.939,30.000,0.222
160.438,30.000,0.222
160.963,30.000,0.219
161.480,30.000,0.219
162.001,30.000,0.251
162.533,30.000,0.219
163.050,30.000,0.222
163.582,30.000,0.219
164.116,30.000,0.250
164.644,30.000,0.218
165.178,30.000,0.217
165.695,30.000,0.220
166.228,30.000,0.220
166.748,30.000,0.249
167.268,30.000,0.218
167.788,30.000,0.222
168.306,30.000,0.222
168.840,30.000,0.246
169.371,30.000,0.219
169.902,30.000,0.219
170.422,30.000,0.244
170.939,30.000,0.221
171.461,30.000,0.220
171.980,30.000,0.217
172.512,30.000,0.255
173.046,30.000,0.227
173.583,30.000,0.217
174.097,30.000,0.219
174.615,30.000,0.219
175.150,30.000,0.242
175.666,30.000,0.215
176.181,30.000,0.213
176.699,30.000,0.235
177.223,30.000,0.252
177.756,30.000,0.217
178.275,30.000,0.222
178.795,30.000,0.241
179.311,30.000,0.235
179.830,30.000,0.218
180.342,30.000,0.216
180.872,30.000,0.252
181.400,30.000,0.252
181.933,30.000,0.241
182.452,30.000,0.229
182.983,30.000,0.252
183.502,30.000,0.261
184.017,30.000,0.236
184.536,30.000,0.241
185.056,30.000,0.237
185.600,30.000,0.272
186.106,30.000,0.233
186.624,30.000,0.228
187.156,30.000,0.275
187.686,30.000,0.252
188.218,30.000,0.243
188.733,30.000,0.242
189.251,30.000,0.230
189.770,30.000,0.243
190.290,30.000,0.244
190.806,30.000,0.228
191.335,30.000,0.229
191.841,30.000,0.418
192.358,30.000,0.357
192.891,30.000,0.356
193.421,30.000,0.349
193.942,30.000,0.375
194.473,30.000,0.010
195.010,30.000,0.044
195.523,30.000,0.389
196.053,30.000,0.376
196.575,30.000,0.343
197.094,30.000,0.346
197.626,30.000,0.330
198.141,30.000,0.316
198.662,30.000,0.322
199.180,30.000,0.289
199.713,30.000,0.249
200.245,30.000,0.273
200.767,30.000,0.246
201.302,30.000,0.247
201.820,30.000,0.248
202.341,30.000,0.255
202.861,30.000,0.238
203.395,30.000,0.247
203.915,30.000,0.250
204.450,30.000,0.249
204.979,30.000,0.244
205.498,30.000,0.249
206.020,30.000,0.257
206.540,30.000,0.237
207.073,30.000,0.246
207.593,30.000,0.244
208.126,30.000,0.254
208.650,30.000,0.255
209.166,30.000,0.247
209.693,30.000,0.252
210.231,30.000,0.259
210.751,30.000,0.249
211.268,30.000,0.259
211.786,30.000,0.259
212.306,30.000,0.247
212.838,30.000,0.252
213.358,30.000,0.267
213.875,30.000,0.256
214.395,30.000,0.268
214.941,30.000,0.271
215.463,30.000,0.274
215.980,30.000,0.268
216.498,30.000,0.279
217.020,30.000,0.294
217.537,30.000,0.272
218.075,30.000,0.275
218.594,30.000,0.278
219.112,30.000,0.296
219.628,30.000,0.282
220.147,30.000,0.276
220.678,30.000,0.278
221.185,30.000,0.275
221.704,30.000,0.301
222.223,30.000,0.265
222.743,30.000,0.271
223.261,30.000,0.292
223.778,30.000,0.297
224.296,30.000,0.276
224.813,30.000,0.264
225.333,30.000,0.468
225.862,30.000,0.452
226.383,30.000,0.450
226.898,30.000,0.442
227.430,30.000,0.471
227.938,30.000,0.461
228.473,30.000,0.453
228.992,30.000,0.446
229.510,30.000,0.449
230.041,30.000,0.455
230.571,30.000,0.434
231.092,30.000,0.421
231.619,30.000,0.424
232.143,30.000,0.412
232.658,30.000,0.366
233.192,30.000,0.363
233.711,30.000,0.390
234.231,30.000,0.369
234.750,30.000,0.364
235.282,30.000,0.350
235.815,30.000,0.377
236.329,30.000,0.395
236.852,30.000,0.368
237.385,30.000,0.367
237.903,30.000,0.370
238.418,30.000,0.390
238.948,30.000,0.369
239.481,30.000,0.354
240.016,30.000,0.374
