PADREMDA0_250401212029.DAT;file0.dat;2025-04-01 21:20:29;5243610
PADREMDA0_250401212740.DAT;file1.dat;2025-04-01 21:27:40;542134
PADREMDA2_250401204325.IDX_;file2.idx_;2025-04-01 20:43:25;529
PADREMDA2_250401204325.DAT_;file3.dat_;2025-04-01 20:43:25;788736
PADREMDA2_250401212039.DAT;file4.dat;2025-04-01 21:20:39;862680
PADRESP17_250402191707.IDX_;file5.idx_;2025-04-02 19:17:07;7105
PADREMDA0_250401212029.IDX;file6.idx;2025-04-01 21:20:29;71937
PADREMDA2_250401212039.IDX;file7.idx;2025-04-01 21:20:39;577
PADREMDA0_250401212740.IDX;file8.idx;2025-04-01 21:27:40;7457
PADRESP17_250402191707.DAT_;file9.dat_;2025-04-02 19:17:07;182215
PADRESP12_250402191709.IDX_;file10.idx_;2025-04-02 19:17:09;1617
PADRESP12_250402191709.DAT_;file11.dat_;2025-04-02 19:17:09;1576028
PADRESP16_250402191716.IDX_;file12.idx_;2025-04-02 19:17:16;321
PADRESP16_250402191716.DAT_;file13.dat_;2025-04-02 19:17:16;6663
PADRESP14_250402191723.IDX_;file14.idx_;2025-04-02 19:17:23;33
PADRESP14_250402191723.DAT_;file15.dat_;2025-04-02 19:17:23;38497
PADRESP15_250402191725.IDX_;file16.idx_;2025-04-02 19:17:25;401
PADRESP15_250402191725.DAT_;file17.dat_;2025-04-02 19:17:25;64244
PADRESP13_250402191756.IDX_;file18.idx_;2025-04-02 19:17:56;81
PADRESP13_250402191756.DAT_;file19.dat_;2025-04-02 19:17:56;79232
PADREMDA0_250402200418.DAT;file20.dat;2025-04-02 20:04:18;36854
PADREMDA2_250402200427.IDX;file21.idx;2025-04-02 20:04:27;305
PADREMDA2_250402200427.DAT;file22.dat;2025-04-02 20:04:27;443664
PADREMDA0_250403185914.DAT;file23.dat;2025-04-03 18:59:14;150438
PADREMDA0_250403185914.IDX;file24.idx;2025-04-03 18:59:14;22561
PADREMDA0_250402200418.IDX;file25.idx;2025-04-02 20:04:18;5537
PADREMDA2_250403185923.IDX;file26.idx;2025-04-03 18:59:23;1137
PADREMDA2_250403185923.DAT;file27.dat;2025-04-03 18:59:23;1725360
PADRESP12_250403190428.IDX;file28.idx;2025-04-03 19:04:28;273
PADRESP12_250403190428.DAT;file29.dat;2025-04-03 19:04:28;400284
PADRESP16_250403190407.DAT;file30.dat;2025-04-03 19:04:07;894289
